"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"bnfchapter"
"13751641000033110"	"39176811000001101"	"belimumab 200mg/1ml solution for injection pre-filled disposable devices"	"belimumab 200mg/1ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"belimumab"	"200.000mg/1.000ml"	NA
"13751741000033118"	"39165611000001102"	"benlysta 200mg/1ml solution for injection pre-filled pens (glaxosmithkline uk ltd)"	"benlysta 200mg/1ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"belimumab"	"200.000mg/1.000ml"	NA
"13767341000033115"	"39332111000001100"	"pertuzumab 1.2g/15ml / trastuzumab 600mg/15ml solution for injection vials"	"pertuzumab 1.2g/15ml / trastuzumab 600mg/15ml solution for injection vials"	"Solution for injection"	"Subcutaneous"	"pertuzumab/ trastuzumab"	"80.000mg/1.000ml + 40.000mg/1.000ml"	NA
"13767441000033114"	"39332211000001106"	"pertuzumab 600mg/10ml / trastuzumab 600mg/10ml solution for injection vials"	"pertuzumab 600mg/10ml / trastuzumab 600mg/10ml solution for injection vials"	"Solution for injection"	"Subcutaneous"	"pertuzumab/ trastuzumab"	"60.000mg/1.000ml + 60.000mg/1.000ml"	NA
"13767641000033111"	"39304011000001102"	"phesgo 1200mg/600mg/15ml solution for injection vials (roche products ltd)"	"phesgo 1200mg/600mg/15ml solution for injection vials"	"Solution for injection"	"Subcutaneous"	"pertuzumab/ trastuzumab"	"80.000mg/1.000ml + 40.000mg/1.000ml"	NA
"13767741000033119"	"39303711000001102"	"phesgo 600mg/600mg/10ml solution for injection vials (roche products ltd)"	"phesgo 600mg/600mg/10ml solution for injection vials"	"Solution for injection"	"Subcutaneous"	"pertuzumab/ trastuzumab"	"60.000mg/1.000ml + 60.000mg/1.000ml"	NA
"13788541000033113"	"39405611000001100"	"imatinib 80mg/ml oral solution sugar free"	"imatinib 80mg/ml oral solution sugar free"	"Oral solution"	"Oral"	"imatinib mesilate"	"80.000mg/1.000ml"	NA
"13804941000033114"	"39488511000001106"	"trastuzumab deruxtecan 100mg powder for solution for infusion vials"	"trastuzumab deruxtecan 100mg powder for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"trastuzumab deruxtecan"	"100.000mg"	NA
"13805241000033118"	"39479311000001102"	"enhertu 100mg powder for concentrate for solution for infusion vials (daiichi sankyo uk ltd)"	"enhertu 100mg powder for concentrate for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"trastuzumab deruxtecan"	"100.000mg"	NA
"13810341000033115"	"39524011000001107"	"secukinumab 300mg/2ml solution for injection pre-filled disposable devices"	"secukinumab 300mg/2ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"secukinumab"	"150.000mg/1.000ml"	"10010300"
"13810441000033114"	"39323811000001102"	"cosentyx 300mg/2ml solution for injection pre-filled pens (novartis pharmaceuticals uk ltd)"	"cosentyx 300mg/2ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"secukinumab"	"150.000mg/1.000ml"	NA
"13860341000033116"	"39819411000001106"	"natalizumab 150mg/1ml solution for injection pre-filled syringes"	"natalizumab 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"natalizumab"	"150.000mg/1.000ml"	NA
"13860441000033110"	"39651011000001104"	"tysabri 150mg/1ml solution for injection pre-filled syringes (biogen idec ltd)"	"tysabri 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"natalizumab"	"150.000mg/1.000ml"	NA
"13890241000033112"	"39804411000001109"	"risankizumab 150mg/1ml solution for injection pre-filled syringes"	"risankizumab 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"risankizumab"	"150.000mg/1.000ml"	NA
