"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"bnfchapter"
"11807941000033110"	"20556311000001100"	"mercaptopurine 25mg tablets"	"mercaptopurine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"mercaptopurine"	"25.000mg"	"08010300"
"12189841000033119"	"34167711000001101"	"methotrexate 10mg/0.4ml solution for injection pre-filled disposable devices"	"methotrexate 10mg/0.4ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	"08010300"
"12189941000033110"	"34167811000001109"	"methotrexate 12.5mg/0.5ml solution for injection pre-filled disposable devices"	"methotrexate 12.5mg/0.5ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	"08010300"
"12190141000033118"	"34167911000001104"	"methotrexate 15mg/0.6ml solution for injection pre-filled disposable devices"	"methotrexate 15mg/0.6ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	"08010300"
"12190241000033113"	"34168011000001102"	"methotrexate 17.5mg/0.7ml solution for injection pre-filled disposable devices"	"methotrexate 17.5mg/0.7ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	"08010300"
"12190341000033115"	"34168111000001101"	"methotrexate 20mg/0.8ml solution for injection pre-filled disposable devices"	"methotrexate 20mg/0.8ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	"08010300"
"12190441000033114"	"34168211000001107"	"methotrexate 22.5mg/0.9ml solution for injection pre-filled disposable devices"	"methotrexate 22.5mg/0.9ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	"08010300"
"12190541000033110"	"34168311000001104"	"methotrexate 25mg/1ml solution for injection pre-filled disposable devices"	"methotrexate 25mg/1ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	"08010300"
"12190641000033111"	"34168411000001106"	"methotrexate 7.5mg/0.3ml solution for injection pre-filled disposable devices"	"methotrexate 7.5mg/0.3ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	"08010300"
"12190741000033119"	"34162611000001107"	"nordimet 10mg/0.4ml solution for injection pre-filled pens (nordic pharma ltd)"	"nordimet 10mg/0.4ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	NA
"12190841000033112"	"34162911000001101"	"nordimet 12.5mg/0.5ml solution for injection pre-filled pens (nordic pharma ltd)"	"nordimet 12.5mg/0.5ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	NA
"12190941000033116"	"34163211000001104"	"nordimet 15mg/0.6ml solution for injection pre-filled pens (nordic pharma ltd)"	"nordimet 15mg/0.6ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	NA
"12191041000033114"	"34163511000001101"	"nordimet 17.5mg/0.7ml solution for injection pre-filled pens (nordic pharma ltd)"	"nordimet 17.5mg/0.7ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	NA
"12191141000033113"	"34163811000001103"	"nordimet 20mg/0.8ml solution for injection pre-filled pens (nordic pharma ltd)"	"nordimet 20mg/0.8ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	NA
"12191241000033118"	"34164111000001107"	"nordimet 22.5mg/0.9ml solution for injection pre-filled pens (nordic pharma ltd)"	"nordimet 22.5mg/0.9ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	NA
"12191341000033111"	"34164411000001102"	"nordimet 25mg/1ml solution for injection pre-filled pens (nordic pharma ltd)"	"nordimet 25mg/1ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	NA
"12191441000033117"	"34161711000001105"	"nordimet 7.5mg/0.3ml solution for injection pre-filled pens (nordic pharma ltd)"	"nordimet 7.5mg/0.3ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"25.000mg/1.000ml"	NA
"12352341000033115"	"34625511000001107"	"pirfenidone 267mg tablets"	"pirfenidone 267mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"pirfenidone"	"267.000mg"	"03110100"
"12352441000033114"	"34625611000001106"	"pirfenidone 801mg tablets"	"pirfenidone 801mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"pirfenidone"	"801.000mg"	"03110100"
"12352541000033110"	"34623211000001105"	"esbriet 267mg tablets (roche products ltd)"	"esbriet 267mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"pirfenidone"	"267.000mg"	NA
"12352641000033111"	"34623711000001103"	"esbriet 801mg tablets (roche products ltd)"	"esbriet 801mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"pirfenidone"	"801.000mg"	NA
"12371941000033113"	"34686811000001106"	"skilarence 30mg gastro-resistant tablets (almirall ltd)"	"skilarence 30mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"dimethyl fumarate"	"30.000mg"	NA
"12372041000033119"	"34686311000001102"	"skilarence 120mg gastro-resistant tablets (almirall ltd)"	"skilarence 120mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"dimethyl fumarate"	"120.000mg"	NA
"12396841000033119"	"34776911000001102"	"methofill 10mg/0.2ml solution for injection pre-filled injector (accord-uk ltd)"	"methofill 10mg/0.2ml solution for injection pre-filled injector"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"12396941000033110"	"34777311000001100"	"methofill 12.5mg/0.25ml solution for injection pre-filled injector (accord-uk ltd)"	"methofill 12.5mg/0.25ml solution for injection pre-filled injector"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"12397041000033111"	"34777111000001102"	"methofill 15mg/0.3ml solution for injection pre-filled injector (accord-uk ltd)"	"methofill 15mg/0.3ml solution for injection pre-filled injector"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"12397141000033110"	"34777611000001105"	"methofill 17.5mg/0.35ml solution for injection pre-filled injector (accord-uk ltd)"	"methofill 17.5mg/0.35ml solution for injection pre-filled injector"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"12397241000033115"	"34777811000001109"	"methofill 20mg/0.4ml solution for injection pre-filled injector (accord-uk ltd)"	"methofill 20mg/0.4ml solution for injection pre-filled injector"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"12397341000033113"	"34778011000001102"	"methofill 22.5mg/0.45ml solution for injection pre-filled injector (accord-uk ltd)"	"methofill 22.5mg/0.45ml solution for injection pre-filled injector"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"12397441000033119"	"34778211000001107"	"methofill 25mg/0.5ml solution for injection pre-filled injector (accord-uk ltd)"	"methofill 25mg/0.5ml solution for injection pre-filled injector"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"12397541000033118"	"34778411000001106"	"methofill 27.5mg/0.55ml solution for injection pre-filled injector (accord-uk ltd)"	"methofill 27.5mg/0.55ml solution for injection pre-filled injector"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"12397741000033114"	"34776411000001105"	"methofill 7.5mg/0.15ml solution for injection pre-filled injector (accord-uk ltd)"	"methofill 7.5mg/0.15ml solution for injection pre-filled injector"	"Solution for injection"	"Subcutaneous"	"methotrexate"	"50.000mg/1.000ml"	NA
"12405141000033110"	"34807711000001106"	"brabio 20mg/1ml solution for injection pre-filled syringes (viatris uk healthcare ltd)"	"brabio 20mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"glatiramer acetate"	"20.000mg/1.000ml"	NA
"12405241000033115"	"34809211000001105"	"ceptava 180mg gastro-resistant tablets (sandoz ltd)"	"ceptava 180mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"mycophenolate sodium"	"180.000mg"	NA
"12405341000033113"	"34809411000001109"	"ceptava 360mg gastro-resistant tablets (sandoz ltd)"	"ceptava 360mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"mycophenolate sodium"	"360.000mg"	NA
"12422441000033115"	"34871011000001105"	"jylamvo 2mg/ml oral solution (esteve pharmaceuticals ltd)"	"jylamvo 2mg/ml oral solution"	"Oral solution"	"Oral"	"methotrexate sodium"	"2.000mg/1.000ml"	NA
"12462841000033114"	"35041211000001107"	"brabio 40mg/1ml solution for injection pre-filled syringes (viatris uk healthcare ltd)"	"brabio 40mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"glatiramer acetate"	"40.000mg/1.000ml"	NA
"13146841000033110"	"37572111000001106"	"hanixol 50mg tablets (fontus health ltd)"	"hanixol 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"mercaptopurine"	"50.000mg"	NA
"13150141000033115"	"37571111000001101"	"methofill 7.5mg/0.15ml solution for injection pre-filled syringes (accord-uk ltd)"	"methofill 7.5mg/0.15ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"13150241000033110"	"37571311000001104"	"methofill 10mg/0.2ml solution for injection pre-filled syringes (accord-uk ltd)"	"methofill 10mg/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"13150341000033117"	"37571511000001105"	"methofill 12.5mg/0.25ml solution for injection pre-filled syringes (accord-uk ltd)"	"methofill 12.5mg/0.25ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"13150441000033111"	"37571711000001100"	"methofill 15mg/0.3ml solution for injection pre-filled syringes (accord-uk ltd)"	"methofill 15mg/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"13150541000033112"	"37571911000001103"	"methofill 17.5mg/0.35ml solution for injection pre-filled syringes (accord-uk ltd)"	"methofill 17.5mg/0.35ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"13150641000033113"	"37572311000001108"	"methofill 20mg/0.4ml solution for injection pre-filled syringes (accord-uk ltd)"	"methofill 20mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"13150741000033116"	"37572511000001102"	"methofill 22.5mg/0.45ml solution for injection pre-filled syringes (accord-uk ltd)"	"methofill 22.5mg/0.45ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"13150841000033114"	"37572711000001107"	"methofill 25mg/0.5ml solution for injection pre-filled syringes (accord-uk ltd)"	"methofill 25mg/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"13150941000033118"	"37572911000001109"	"methofill 27.5mg/0.55ml solution for injection pre-filled syringes (accord-uk ltd)"	"methofill 27.5mg/0.55ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"14180441000033115"	"40558711000001100"	"teriflunomide 7mg tablets"	"teriflunomide 7mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"teriflunomide"	"7.000mg"	"08020400"
"14180541000033119"	"40266811000001107"	"aubagio 7mg tablets (sanofi)"	"aubagio 7mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"teriflunomide"	"7.000mg"	NA
"14235641000033115"	"22154611000001102"	"mercaptopurine 25mg capsules"	"mercaptopurine 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"mercaptopurine"	"25.000mg"	"08010300"
"14241341000033112"	"42264911000001100"	"azathioprine 75mg tablets"	"azathioprine 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"azathioprine"	"75.000mg"	"08020100"
"14241441000033118"	"42264811000001105"	"azathioprine 100mg tablets"	"azathioprine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"azathioprine"	"100.000mg"	"08020100"
