"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"bnfchapter"
"6037041000033116"	"18245711000001104"	"methotrexate 30mg/0.6ml solution for injection pre-filled syringes"	"methotrexate 30mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate"	"50.000mg/1.000ml"	"10010300"
"6037141000033117"	"18208411000001106"	"metoject 30mg/0.6ml solution for injection pre-filled syringes (medac uk)"	"metoject 30mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate"	"50.000mg/1.000ml"	NA
"6066841000033115"	"8308811000001100"	"azathioprine 30mg/5ml oral suspension"	"azathioprine 30mg/5ml oral suspension"	"Oral suspension"	"Oral"	"azathioprine"	"6.000mg/1.000ml"	"08020100"
"6071841000033115"	"9468511000001106"	"methotrexate 17.5mg/0.7ml solution for injection pre-filled syringes"	"methotrexate 17.5mg/0.7ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	"08010300"
"6377141000033119"	"19224611000001108"	"metoject 12.5mg/0.25ml solution for injection pre-filled syringes (medac uk)"	"metoject 12.5mg/0.25ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"6377241000033114"	"19225111000001101"	"metoject 17.5mg/0.35ml solution for injection pre-filled syringes (medac uk)"	"metoject 17.5mg/0.35ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"6377341000033116"	"19225411000001106"	"metoject 22.5mg/0.45ml solution for injection pre-filled syringes (medac uk)"	"metoject 22.5mg/0.45ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"6377441000033110"	"19225811000001108"	"metoject 27.5mg/0.55ml solution for injection pre-filled syringes (medac uk)"	"metoject 27.5mg/0.55ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	NA
"6380841000033115"	"19231311000001104"	"methotrexate 12.5mg/0.25ml solution for injection pre-filled syringes"	"methotrexate 12.5mg/0.25ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	"10010300"
"6380941000033111"	"19231411000001106"	"methotrexate 17.5mg/0.35ml solution for injection pre-filled syringes"	"methotrexate 17.5mg/0.35ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	"10010300"
"6381041000033118"	"19231511000001105"	"methotrexate 22.5mg/0.45ml solution for injection pre-filled syringes"	"methotrexate 22.5mg/0.45ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	"10010300"
"6381141000033119"	"19231611000001109"	"methotrexate 27.5mg/0.55ml solution for injection pre-filled syringes"	"methotrexate 27.5mg/0.55ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"methotrexate sodium"	"50.000mg/1.000ml"	"10010300"
"6390741000033112"	"19377311000001100"	"capsorin 25mg capsules (morningside healthcare ltd)"	"capsorin 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"ciclosporin"	"25.000mg"	NA
