"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"equivalent prednisolone dose"
"3034041000033119"	"12030411000001102"	"fludrocortisone 20micrograms/5ml oral suspension"	"fludrocortisone 20micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"fludrocortisone acetate"	"4.000microgram/1.000ml"	"?"
"588541000033116"	"8515711000001101"	"fludrocortisone 250micrograms/5ml oral suspension"	"fludrocortisone 250micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"fludrocortisone acetate"	"50.000microgram/1.000ml"	"?"
"5968041000033118"	"8516111000001108"	"fludrocortisone 50micrograms/5ml oral suspension"	"fludrocortisone 50micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"fludrocortisone acetate"	"10.000microgram/1.000ml"	"?"
"8840741000033110"	"10829711000001107"	"fumaderm 215mg gastro-resistant tablets (imported (germany))"	"fumaderm 215mg gastro-resistant tablets"	"Gastro-resistant tablet"	NA	"calcium monoethyl fumarate/ dimethyl fumarate/ magnesium monoethyl fumarate/ zinc monoethyl fumarate"	"87.000mg + 120.000mg + 5.000mg + 3.000mg"	"?"
"8613941000033116"	"14800211000001100"	"fumaric acid 30mg tablets"	"fumaric acid 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"fumaric acid"	"30.000mg"	"?"
"12389541000033113"	"34743111000001109"	"glensoludex 2mg soluble tablets (glenmark pharmaceuticals europe ltd)"	"glensoludex 2mg soluble tablets"	"Soluble tablet/"	"Oral"	"dexamethasone sodium phosphate"	"2.000mg"	"0.15"
"12389641000033114"	"34743411000001104"	"glensoludex 4mg soluble tablets (glenmark pharmaceuticals europe ltd)"	"glensoludex 4mg soluble tablets"	"Soluble tablet/"	"Oral"	"dexamethasone sodium phosphate"	"4.000mg"	"0.15"
"12389741000033117"	"34743611000001101"	"glensoludex 8mg soluble tablets (glenmark pharmaceuticals europe ltd)"	"glensoludex 8mg soluble tablets"	"Soluble tablet/"	"Oral"	"dexamethasone sodium phosphate"	"8.000mg"	"0.15"
"736341000033117"	NA	"hydrocortisone  injection  100 mg/vial"	NA	NA	NA	NA	NA	"4"
"736541000033112"	NA	"hydrocortisone  injection  500 mg/vial"	NA	NA	NA	NA	NA	"4"
"14025341000033116"	"40609211000001104"	"hydrocortisone 10mg dispersible tablets sugar free"	"hydrocortisone 10mg dispersible tablets sugar free"	"Dispersible tablet/"	"Oral"	"hydrocortisone"	"10.000mg"	"4"
"13915641000033113"	"40103411000001101"	"hydrocortisone 10mg modified-release capsules"	"hydrocortisone 10mg modified-release capsules"	"Modified-release capsule"	"Oral"	"hydrocortisone"	"10.000mg"	"4"
"12890041000033114"	"36595311000001105"	"hydrocortisone 10mg soluble tablets sugar free"	"hydrocortisone 10mg soluble tablets sugar free"	"Soluble tablet/"	"Oral"	"hydrocortisone sodium phosphate"	"10.000mg"	"4"
"744541000033116"	"42083911000001107"	"hydrocortisone 10mg tablets"	"hydrocortisone 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"hydrocortisone"	"10.000mg"	"4"
"740241000033111"	"8581111000001102"	"hydrocortisone 10mg/5ml oral suspension"	"hydrocortisone 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"hydrocortisone"	"2.000mg/1.000ml"	"4"
"13897641000033111"	"39933911000001104"	"hydrocortisone 15mg tablets"	"hydrocortisone 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"hydrocortisone"	"15.000mg"	"4"
"12633341000033118"	"35775611000001109"	"hydrocortisone 1mg granules in capsules for opening"	"hydrocortisone 1mg granules in capsules for opening"	"Granules/ Oral granules"	"Oral"	"hydrocortisone"	"1.000mg"	"4"
"738041000033118"	"42084011000001105"	"hydrocortisone 2.5mg muco-adhesive buccal tablets sugar free"	"hydrocortisone 2.5mg muco-adhesive buccal tablets sugar free"	"Muco-adhesive buccal tablet"	"Oromucosal"	"hydrocortisone sodium succinate"	"2.500mg"	"4"
"13897441000033114"	"39934011000001101"	"hydrocortisone 2.5mg tablets"	"hydrocortisone 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"hydrocortisone"	"2.500mg"	"4"
"14025441000033110"	"40609311000001107"	"hydrocortisone 20mg dispersible tablets sugar free"	"hydrocortisone 20mg dispersible tablets sugar free"	"Dispersible tablet/"	"Oral"	"hydrocortisone"	"20.000mg"	"4"
"8142041000033116"	"21496311000001105"	"hydrocortisone 20mg modified-release tablets"	"hydrocortisone 20mg modified-release tablets"	"Modified-release tablet"	"Oral"	"hydrocortisone"	"20.000mg"	"4"
"742241000033110"	"42084111000001106"	"hydrocortisone 20mg tablets"	"hydrocortisone 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"hydrocortisone"	"20.000mg"	"4"
"2149441000033113"	"8581511000001106"	"hydrocortisone 25mg/5ml oral suspension"	"hydrocortisone 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"hydrocortisone"	"5.000mg/1.000ml"	"4"
"12633441000033112"	"35775711000001100"	"hydrocortisone 2mg granules in capsules for opening"	"hydrocortisone 2mg granules in capsules for opening"	"Granules/ Oral granules"	"Oral"	"hydrocortisone"	"2.000mg"	"4"
"12633241000033111"	"35776011000001106"	"hydrocortisone 500microgram granules in capsules for opening"	"hydrocortisone 500microgram granules in capsules for opening"	"Granules/ Oral granules"	"Oral"	"hydrocortisone"	"500.000microgram"	"4"
"14025241000033114"	"40609411000001100"	"hydrocortisone 5mg dispersible tablets sugar free"	"hydrocortisone 5mg dispersible tablets sugar free"	"Dispersible tablet/"	"Oral"	"hydrocortisone"	"5.000mg"	"4"
"12633541000033113"	"35776111000001107"	"hydrocortisone 5mg granules in capsules for opening"	"hydrocortisone 5mg granules in capsules for opening"	"Granules/ Oral granules"	"Oral"	"hydrocortisone"	"5.000mg"	"4"
"13915541000033112"	"40103511000001102"	"hydrocortisone 5mg modified-release capsules"	"hydrocortisone 5mg modified-release capsules"	"Modified-release capsule"	"Oral"	"hydrocortisone"	"5.000mg"	"4"
"8141941000033110"	"21496411000001103"	"hydrocortisone 5mg modified-release tablets"	"hydrocortisone 5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"hydrocortisone"	"5.000mg"	"4"
"13897541000033110"	"39934111000001100"	"hydrocortisone 5mg tablets"	"hydrocortisone 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"hydrocortisone"	"5.000mg"	"4"
"1830141000033115"	"8581611000001105"	"hydrocortisone 5mg/5ml oral suspension"	"hydrocortisone 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"hydrocortisone"	"1.000mg/1.000ml"	"4"
"2623741000033116"	"20093511000001108"	"hydrocortisone 5mg/5ml oral suspension sugar free"	"hydrocortisone 5mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"hydrocortisone"	"1.000mg/1.000ml"	"4"
"1617841000033113"	"4317011000001107"	"hydrocortisone powder"	"hydrocortisone powder"	"Not applicable"	"Route of administration not applicable"	"hydrocortisone"	"1.000mg/1.000mg"	"4"
"3978341000033119"	"36056911000001108"	"hydrocortisone sodium phosphate 100mg/1ml solution for injection ampoules"	"hydrocortisone sodium phosphate 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular/ Intralesional"	"hydrocortisone sodium phosphate"	"100.000mg/1.000ml"	"4"
"3978441000033113"	"36057011000001107"	"hydrocortisone sodium phosphate 500mg/5ml solution for injection ampoules"	"hydrocortisone sodium phosphate 500mg/5ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular/ Intralesional"	"hydrocortisone sodium phosphate"	"100.000mg/1.000ml"	"4"
"735741000033114"	NA	"hydrocortisone sodium succinate  injection  500 mg/vial"	NA	NA	NA	NA	NA	"4"
"8195841000033113"	"4195211000001100"	"hydrocortisone sodium succinate 100mg powder and solvent for solution for injection vials"	"hydrocortisone sodium succinate 100mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous/ Intramuscular"	"hydrocortisone sodium succinate"	"100.000mg"	"4"
"735641000033117"	"13893711000001102"	"hydrocortisone sodium succinate 100mg powder for solution for injection vials"	"hydrocortisone sodium succinate 100mg powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous/ Intramuscular"	"hydrocortisone sodium succinate"	"100.000mg"	"4"
"742341000033117"	NA	"hydrocortistab  tablets  20 mg"	NA	NA	NA	NA	NA	"4"
"744641000033115"	"197211000001101"	"hydrocortone 10mg tablets (auden mckenzie (pharma division) ltd)"	"hydrocortone 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"hydrocortisone"	"10.000mg"	"4"
"744741000033112"	"706611000001109"	"hydrocortone 20mg tablets (auden mckenzie (pharma division) ltd)"	"hydrocortone 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"hydrocortisone"	"20.000mg"	"4"
"13010241000033114"	"36917711000001106"	"hydventia 10mg tablets (ocxia)"	"hydventia 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"hydrocortisone"	"10.000mg"	"4"
"13010341000033116"	"36917511000001101"	"hydventia 20mg tablets (ocxia)"	"hydventia 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"hydrocortisone"	"20.000mg"	"4"
"14043641000033114"	"40745211000001101"	"jorveza 0.5mg orodispersible tablets (dr. falk pharma uk ltd)"	"jorveza 0.5mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"budesonide"	"500.000microgram"	"0.075"
"12641341000033118"	"35774711000001104"	"jorveza 1mg orodispersible tablets (dr. falk pharma uk ltd)"	"jorveza 1mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"budesonide"	"1.000mg"	"0.075"
"799741000033115"	NA	"kenalog  injection  40 mg/ml"	NA	NA	NA	NA	NA	"0.8"
"5329841000033116"	"306011000001103"	"kenalog intra-articular / intramuscular 40mg/1ml suspension for injection vials (bristol-myers squibb pharmaceuticals ltd)"	"kenalog intra-articular / intramuscular 40mg/1ml suspension for injection vials"	"Suspension for injection"	"Intraarticular/ Intramuscular"	"triamcinolone acetonide"	"40.000mg/1.000ml"	"0.8"
"802441000033115"	"793711000001105"	"kenalog intramuscular 40mg/1ml suspension for injection pre-filled syringes (bristol-myers squibb pharmaceuticals ltd)"	"kenalog intramuscular 40mg/1ml suspension for injection pre-filled syringes"	"Suspension for injection"	"Intramuscular"	"triamcinolone acetonide"	"40.000mg/1.000ml"	"0.8"
"802541000033119"	"865511000001102"	"kenalog intramuscular 80mg/2ml suspension for injection pre-filled syringes (bristol-myers squibb pharmaceuticals ltd)"	"kenalog intramuscular 80mg/2ml suspension for injection pre-filled syringes"	"Suspension for injection"	"Intramuscular"	"triamcinolone acetonide"	"40.000mg/1.000ml"	"0.8"
"825141000033110"	NA	"ledercort  tablets  2 mg"	NA	NA	NA	NA	NA	"0.8"
"825241000033115"	NA	"ledercort  tablets  4 mg"	NA	NA	NA	NA	NA	"0.8"
"5990641000033113"	"17872911000001105"	"lodotra 1mg modified-release tablets (napp pharmaceuticals ltd)"	"lodotra 1mg modified-release tablets"	"Modified-release tablet"	"Oral"	"prednisone"	"1.000mg"	"1"
"5990741000033116"	"17873311000001104"	"lodotra 2mg modified-release tablets (napp pharmaceuticals ltd)"	"lodotra 2mg modified-release tablets"	"Modified-release tablet"	"Oral"	"prednisone"	"2.000mg"	"1"
"5990841000033114"	"17873911000001103"	"lodotra 5mg modified-release tablets (napp pharmaceuticals ltd)"	"lodotra 5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"prednisone"	"5.000mg"	"1"
"6512741000033110"	"19792911000001107"	"martapan 2mg/5ml oral solution (martindale pharmaceuticals ltd)"	"martapan 2mg/5ml oral solution"	"Oral solution"	"Oral"	"dexamethasone sodium phosphate"	"400.000microgram/1.000ml"	"0.15"
"13496241000033118"	"38079911000001105"	"mayzent 0.25mg tablets (novartis pharmaceuticals uk ltd)"	"mayzent 0.25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"siponimod fumaric acid"	"250.000microgram"	"?"
"13496341000033111"	"38080311000001109"	"mayzent 2mg tablets (novartis pharmaceuticals uk ltd)"	"mayzent 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"siponimod fumaric acid"	"2.000mg"	"?"
"898441000033115"	"4052211000001108"	"medrone 100mg tablets (pfizer ltd)"	"medrone 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"methylprednisolone"	"100.000mg"	"0.8"
"899641000033110"	"4051911000001105"	"medrone 16mg tablets (pfizer ltd)"	"medrone 16mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"methylprednisolone"	"16.000mg"	"0.8"
"899741000033118"	"4051211000001101"	"medrone 2mg tablets (pfizer ltd)"	"medrone 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"methylprednisolone"	"2.000mg"	"0.8"
"899841000033111"	"4051611000001104"	"medrone 4mg tablets (pfizer ltd)"	"medrone 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"methylprednisolone"	"4.000mg"	"0.8"
"898541000033119"	"42085211000001104"	"methylprednisolone 100mg tablets"	"methylprednisolone 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"methylprednisolone"	"100.000mg"	"0.8"
"903141000033113"	"42085311000001107"	"methylprednisolone 16mg tablets"	"methylprednisolone 16mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"methylprednisolone"	"16.000mg"	"0.8"
"904141000033111"	"42085411000001100"	"methylprednisolone 2mg tablets"	"methylprednisolone 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"methylprednisolone"	"2.000mg"	"0.8"
"904241000033116"	"42085511000001101"	"methylprednisolone 4mg tablets"	"methylprednisolone 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"methylprednisolone"	"4.000mg"	"0.8"
"886141000033111"	NA	"methylprednisolone acetate  injection  10 mg/1 ml"	NA	NA	NA	NA	NA	"0.8"
"879841000033115"	NA	"methylprednisolone sodium succinate  injection  1 gram/vial"	NA	NA	NA	NA	NA	"0.8"
"879941000033111"	NA	"methylprednisolone sodium succinate  injection  125 mg/vial"	NA	NA	NA	NA	NA	"0.8"
"887041000033114"	NA	"methylprednisolone sodium succinate  injection  40 mg/vial"	NA	NA	NA	NA	NA	"0.8"
"880041000033110"	NA	"methylprednisolone sodium succinate  injection  500 mg/vial"	NA	NA	NA	NA	NA	"0.8"
"889541000033110"	"4396711000001105"	"methylprednisolone sodium succinate 125mg powder and solvent for solution for injection vials"	"methylprednisolone sodium succinate 125mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous/ Intramuscular"	"methylprednisolone sodium succinate"	"125.000mg"	"0.8"
"889441000033114"	"4195311000001108"	"methylprednisolone sodium succinate 1g powder and solvent for solution for injection vials"	"methylprednisolone sodium succinate 1g powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous/ Intramuscular"	"methylprednisolone sodium succinate"	"1.000gram"	"0.8"
"889641000033111"	"4396811000001102"	"methylprednisolone sodium succinate 2g powder and solvent for solution for injection vials"	"methylprednisolone sodium succinate 2g powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous/ Intramuscular"	"methylprednisolone sodium succinate"	"2.000gram"	"0.8"
"889741000033119"	"4396911000001107"	"methylprednisolone sodium succinate 40mg powder and solvent for solution for injection vials"	"methylprednisolone sodium succinate 40mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous/ Intramuscular"	"methylprednisolone sodium succinate"	"40.000mg"	"0.8"
"889841000033112"	"4195411000001101"	"methylprednisolone sodium succinate 500mg powder and solvent for solution for injection vials"	"methylprednisolone sodium succinate 500mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous/ Intramuscular"	"methylprednisolone sodium succinate"	"500.000mg"	"0.8"
"10212641000033118"	"28799311000001104"	"pevanti 10mg tablets (advanz pharma)"	"pevanti 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"prednisolone"	"10.000mg"	"1"
"10212441000033115"	"28798211000001102"	"pevanti 2.5mg tablets (advanz pharma)"	"pevanti 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"prednisolone"	"2.500mg"	"1"
"10212741000033110"	"28799611000001109"	"pevanti 20mg tablets (advanz pharma)"	"pevanti 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"prednisolone"	"20.000mg"	"1"
"10212941000033113"	"28799811000001108"	"pevanti 25mg tablets (advanz pharma)"	"pevanti 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"prednisolone"	"25.000mg"	"1"
"10212541000033119"	"28799011000001102"	"pevanti 5mg tablets (advanz pharma)"	"pevanti 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"prednisolone"	"5.000mg"	"1"
"8142241000033112"	"21494911000001103"	"plenadren 20mg modified-release tablets (takeda uk ltd)"	"plenadren 20mg modified-release tablets"	"Modified-release tablet"	"Oral"	"hydrocortisone"	"20.000mg"	"4"
"8142141000033117"	"21494611000001109"	"plenadren 5mg modified-release tablets (takeda uk ltd)"	"plenadren 5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"hydrocortisone"	"5.000mg"	"4"
"1137041000033111"	NA	"precortisyl  tablets  1 mg"	NA	NA	NA	NA	NA	"1"
"1137141000033110"	NA	"precortisyl  tablets  5 mg"	NA	NA	NA	NA	NA	"1"
"1137241000033115"	NA	"precortisyl forte  tablets  25 mg"	NA	NA	NA	NA	NA	"1"
"1137341000033113"	NA	"prednesol  soluble tablets  5 mg"	NA	NA	NA	NA	NA	"1"
"1119141000033110"	NA	"prednisolone  injection  16 mg/ml"	NA	NA	NA	NA	NA	"1"
"10212141000033111"	"28808411000001103"	"prednisolone 10mg tablets"	"prednisolone 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"prednisolone"	"10.000mg"	"1"
"10494341000033117"	"29904211000001102"	"prednisolone 10mg/ml oral solution sugar free"	"prednisolone 10mg/ml oral solution sugar free"	"Oral solution"	"Oral"	"prednisolone"	"10.000mg/1.000ml"	"1"
