"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"
"dementia in alzheimer's dis, atypical or mixed type, without additional symptoms"	"1972231000006114"	"EMISICD10|F0020"	NA	"1972231000006105"	"1972231000006114"	"32"
"dementia in alzheimer's dis, atypical or mixed type, other symptoms, predominantly delusional"	"1972251000006119"	"EMISICD10|F0021"	NA	"1972251000006103"	"1972251000006119"	"32"
"dementia in alzheimer's dis, atypical or mixed type, other symptoms, predominantly hallucinatory"	"1972291000006113"	"EMISICD10|F0022"	NA	"1972291000006109"	"1972291000006113"	"32"
"dementia in alzheimer's dis, atypical or mixed type, other symptoms, predominantly depressive"	"1972311000006112"	"EMISICD10|F0023"	NA	"1972311000006108"	"1972311000006112"	"32"
"dementia in alzheimer's dis, atypical or mixed type, other mixed symptoms"	"1972341000006111"	"EMISICD10|F0024"	NA	"1972341000006107"	"1972341000006111"	"32"
"dementia in alzheimer's disease, unspecified, without additional symptoms"	"1972371000006115"	"EMISICD10|F0090"	NA	"1972371000006104"	"1972371000006115"	"32"
"dementia in alzheimer's disease, unspecified, other symptoms, predominantly delusional"	"1972401000006117"	"EMISICD10|F0091"	NA	"1972401000006101"	"1972401000006117"	"32"
"dementia in alzheimer's disease, unspecified, other symptoms, predominantly depressive"	"1972451000006118"	"EMISICD10|F0093"	NA	"1972451000006102"	"1972451000006118"	"32"
"dementia in alzheimer's disease, unspecified, other mixed symptoms"	"1972471000006111"	"EMISICD10|F0094"	NA	"1972471000006107"	"1972471000006111"	"32"
"vascular dementia of acute onset, without additional symptoms"	"1972481000006114"	"EMISICD10|F0100"	NA	"1972481000006105"	"1972481000006114"	"32"
"vascular dementia of acute onset, other symptoms, predominantly delusional"	"1972501000006116"	"EMISICD10|F0101"	NA	"1972501000006100"	"1972501000006116"	"32"
"vascular dementia of acute onset, other mixed symptoms"	"1972571000006110"	"EMISICD10|F0104"	NA	"1972571000006106"	"1972571000006110"	"32"
"multi-infarct dementia, other symptoms, predominantly depressive"	"1972661000006119"	"EMISICD10|F0113"	NA	"1972661000006103"	"1972661000006119"	"32"
"multi-infarct dementia, other mixed symptoms"	"1972681000006112"	"EMISICD10|F0114"	NA	"1972681000006108"	"1972681000006112"	"32"
"subcortical vascular dementia, without additional symptoms"	"1972711000006113"	"EMISICD10|F0120"	NA	"1972711000006109"	"1972711000006113"	"32"
"subcortical vascular dementia, other symptoms, predominantly delusional"	"1972731000006119"	"EMISICD10|F0121"	NA	"1972731000006103"	"1972731000006119"	"32"
"subcortical vascular dementia, other symptoms, predominantly hallucinatory"	"1972751000006114"	"EMISICD10|F0122"	NA	"1972751000006105"	"1972751000006114"	"32"
"subcortical vascular dementia, other symptoms, predominantly depressive"	"1972771000006116"	"EMISICD10|F0123"	NA	"1972771000006100"	"1972771000006116"	"32"
"subcortical vascular dementia, other mixed symptoms"	"1972791000006115"	"EMISICD10|F0124"	NA	"1972791000006104"	"1972791000006115"	"32"
"mixed cortical and subcortical vascular dementia, without additional symptoms"	"1972821000006112"	"EMISICD10|F0130"	NA	"1972821000006108"	"1972821000006112"	"32"
"mixed cortical and subcortical vascular dementia, other symptoms, predominantly delusional"	"1972831000006110"	"EMISICD10|F0131"	NA	"1972831000006106"	"1972831000006110"	"32"
"mixed cortical and subcortical vascular dementia, other symptoms, predominantly hallucinatory"	"1972871000006113"	"EMISICD10|F0132"	NA	"1972871000006109"	"1972871000006113"	"32"
"mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive"	"1972911000006111"	"EMISICD10|F0133"	NA	"1972911000006107"	"1972911000006111"	"32"
"mixed cortical and subcortical vascular dementia, other mixed symptoms"	"1972931000006117"	"EMISICD10|F0134"	NA	"1972931000006101"	"1972931000006117"	"32"
"other vascular dementia, without additional symptoms"	"1973221000006118"	"EMISICD10|F0180"	NA	"1973221000006102"	"1973221000006118"	"32"
"other vascular dementia, other symptoms, predominantly delusional"	"1973271000006117"	"EMISICD10|F0181"	NA	"1973271000006101"	"1973271000006117"	"32"
"other vascular dementia, other symptoms, predominantly hallucinatory"	"1973341000006118"	"EMISICD10|F0182"	NA	"1973341000006102"	"1973341000006118"	"32"
"other vascular dementia, other symptoms, predominantly depressive"	"1973381000006112"	"EMISICD10|F0183"	NA	"1973381000006108"	"1973381000006112"	"32"
"other vascular dementia, other mixed symptoms"	"1973401000006112"	"EMISICD10|F0184"	NA	"1973401000006108"	"1973401000006112"	"32"
"vascular dementia, unspecified, without additional symptoms"	"1973461000006113"	"EMISICD10|F0190"	NA	"1973461000006109"	"1973461000006113"	"32"
"vascular dementia, unspecified, other symptoms, predominantly hallucinatory"	"1973531000006117"	"EMISICD10|F0192"	NA	"1973531000006101"	"1973531000006117"	"32"
"vascular dementia, unspecified, other symptoms, predominantly depressive"	"1973551000006112"	"EMISICD10|F0193"	NA	"1973551000006108"	"1973551000006112"	"32"
"vascular dementia, unspecified, other mixed symptoms"	"1976831000006111"	"EMISICD10|F0194"	NA	"1976831000006107"	"1976831000006111"	"32"
"unspecified dementia, without additional symptoms"	"1972021000006119"	"EMISICD10|F03X0"	NA	"1972021000006103"	"1972021000006119"	"32"
