"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"
"[x]vascular dementia, unspecified"	"295681016"	"Eu01z"	"Eu01z00"	"429998004"	"2770951017"	"32"
"dementia associated with another disease"	"295684012"	"Eu02"	"Eu02.00"	"191519005"	"2547722017"	"32"
"dementia due to pick's disease"	"295685013"	"Eu020"	"Eu02000"	"21921000119103"	"2968126015"	"32"
"dementia due to creutzfeldt jakob disease"	"295686014"	"Eu021"	"Eu02100"	"429458009"	"2695885013"	"32"
"dementia due to huntington chorea"	"295687017"	"Eu022"	"Eu02200"	"442344002"	"2820374011"	"32"
"dementia in parkinsons disease"	"295688010"	"Eu023"	"Eu02300"	"425390006"	"2921040013"	"32"
"[x]dementia in human immunodef virus [hiv] disease"	"376571000006116"	"Eu024"	"Eu02400"	"421529006"	"2622767013"	"32"
"diffuse lewy body disease"	"299641000000112"	"Eu025"	"Eu02500"	"80098002"	"132893017"	"32"
"[x]dementia in other specified diseases classif elsewhere"	"295690011"	"Eu02y"	"Eu02y00"	"191519005"	"2547722017"	"32"
"[x] presenile dementia nos"	"359081000006118"	"Eu02z-1"	"Eu02z11"	"12348006"	"21256010"	"32"
"[x] presenile psychosis nos"	"359091000006115"	"Eu02z-2"	"Eu02z12"	"268612007"	"401757012"	"32"
"cerebral degeneration presenting primarily with dementia"	"359101000006114"	"Eu02z-3"	"Eu02z13"	"279982005"	"417465012"	"32"
"[x] senile dementia nos"	"359141000006111"	"Eu02z-4"	"Eu02z14"	"15662003"	"26545010"	"32"
"[x] senile psychosis nos"	"359161000006110"	"Eu02z-5"	"Eu02z15"	"268612007"	"401757012"	"32"
"[x] senile dementia, depressed or paranoid type"	"359151000006113"	"Eu02z-6"	"Eu02z16"	"191457008"	"294644014"	"32"
"amnestic disorder"	"403921000006119"	"Eu03"	"Eu03.00"	"3298001"	"6563014"	"32"
"[x]korsakov's psychosis, nonalcoholic"	"394691000006116"	"Eu03-1"	"Eu03.11"	"3298001"	"6563014"	"32"
"[x]acute / subacute brain syndrome"	"362201000006116"	"Eu04-1"	"Eu04.11"	"2776000"	"483659012"	"32"
"[x]delirium superimposed on dementia"	"295714013"	"Eu041"	"Eu04100"	"2776000"	"5694012"	"32"
"[x]alcoholic dementia nos"	"362941000006113"	"Eu107-1"	"Eu10711"	"281004"	"1225776018"	"32"
"[x]chronic alcoholic brain syndrome"	"370961000006119"	"Eu107-2"	"Eu10712"	"191475009"	"294668018"	"32"
"[x]dementia infantalis"	"376631000006115"	"Eu843-1"	"Eu84311"	"71961003"	"119576018"	"32"
"cerebral degeneration in childhood"	"296958010"	"F10"	"F10..00"	"2584003"	"5405012"	"32"
"child cerebral degeneration"	"882931000006115"	"F10-99"	"F10..99"	"2584003"	"882931000006115"	"32"
"cerebral lipidoses nos"	"296988018"	"F101z"	"F101z00"	"192794001"	"296993015"	"32"
"cerebral degeneration in lipidoses ec"	"542741000006119"	"F102"	"F102.00"	"420146005"	"2577873013"	"32"
