medcodeid	snomedctconceptid	term	given	given_lag	neutral	declined	adv_reac	remove
2200881000000110	955691000000108	Seasonal influenza vaccination given by pharmacist		1				
2244031000000119	868241000000109	Administration of intranasal influenza vaccination	1					
2251621000000112	871521000000104	First intranasal influenza vaccination declined				1		
2251661000000116	871541000000106	Second intranasal influenza vaccination declined				1		
2252131000000112	871751000000104	Administration of first intranasal influenza vaccination	1					
2252191000000113	871781000000105	Administration of second intranasal influenza vaccination	1					
2283331000000110	885971000000103	First intranasal seasonal influenza vaccination declined				1		
2283371000000112	885991000000104	First intranasal pandemic influenza vaccination declined				1		
2283411000000111	886011000000103	Second intranasal seasonal influenza vaccination declined				1		
2283461000000113	886031000000106	Second intranasal pandemic influenza vaccination declined				1		
265445015	171290003	Influenza vaccination consent given			1			
296887012	192721000	Post influenza vaccination encephalitis					1	
301281000000110	199331000000106	Did not attend flu vaccination appointment				1		
308411000000113	202301000000106	First pandemic influenza vaccination			1			
308441000000114	202311000000108	Second pandemic influenza vaccination			1			
3246891000006118	46233009	Influenza vaccine			1			
3246911000006116	46233009	FLU - Influenza vaccine			1			
3901351000006116	86198006	Influenza immunisation			1			
460150015	294647003	Influenza vaccine allergy					1	
460159019	315640000	Influenza vaccination declined				1		
460224014	1411000119106	[v]influenza vaccination			1			
5791421000006116	293112000	Influenza split virion vaccine adverse reaction					1	
5791431000006118	293113005	Influenza surface antigen vaccine adverse reaction					1	
5809171000006113	294648008	Influenza split virion vaccine allergy					1	
5809181000006111	294649000	Influenza surface antigen vaccine allergy					1	
6178241000006117	346524008	Inactivated Influenza split virion vaccine			1			
6569211000006110	396425006	Influenza virus vaccine			1			
6569221000006119	396425006	Influenza vaccine			1			
6569231000006116	396425006	FLU - Influenza vaccine			1			
6766481000006114	408752008	Inactivated influenza split virion vaccine			1			
7104161000006111	429493002	Intranasal influenza live virus vaccine 0.2mL nasal spray	1					
7120261000006117	430410002	Influenza virus vaccine in nasal dosage form	1					
749241000000111	380271000000101	Consent given for pandemic influenza vaccination			1			
749451000000113	380381000000108	Pandemic influenza vaccination declined				1		
749991000000113	380631000000100	Pandemic influenza vaccination contraindicated				1		
753841000000112	955641000000103	Influenza vaccination given by other healthcare provider		1				
8022971000006117	73701000119109	Influenza vaccination given	1					
8022981000006119	73701000119109	Vaccination for influenza given	1					
8059121000006113	199331000000106	Did not attend influenza vaccination appointment				1		
8061261000006115	201391000000106	Booster influenza vaccination			1			
8062271000006119	202301000000106	First pandemic flu vaccination			1			
