"medcodeid"	"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"
"5247401000006117"	"^ESCTHY524740"	NA	"hypochondriacal delusion"	"247688006"	"369834017"
"5247411000006119"	"^ESCTDE524741"	NA	"depressive hypochondriacal delusion"	"247689003"	"369835016"
"5247421000006110"	"^ESCTDE524742"	NA	"delusion of replacement of will by external force"	"247691006"	"369837012"
"5248961000006113"	"^ESCTSC524896"	NA	"schizophrenic prodrome"	"247804008"	"369986010"
"5387561000006118"	"^ESCTBI538756"	NA	"bipolar diathermy"	"257797008"	"383750017"
"5435901000006117"	"^ESCTBI543590"	NA	"bipolar"	"260994008"	"388662014"
"5517971000006118"	"^ESCTMI551797"	NA	"mixed schizophrenic and affective psychosis"	"270901009"	"2646671010"
"5568191000006118"	"^ESCTAC556819"	NA	"acute polymorphic psychotic disorder"	"274953007"	"410870014"
"5582571000006113"	"^ESCTPR558257"	NA	"primary delusions"	"276243003"	"412300010"
"5582581000006111"	"^ESCTDE558258"	NA	"delusional memories"	"276244009"	"412301014"
"5583321000006111"	"^ESCTDI558332"	NA	"dissociative stupor"	"276300008"	"412382017"
"5614121000006115"	"^ESCTIN561412"	NA	"involutional paranoid state"	"278506006"	"415437014"
"5614141000006110"	"^ESCTDE561414"	NA	"delusional dysmorphophobia"	"278508007"	"415439012"
"5647801000006116"	"^ESCTHE564780"	NA	"health of the nation outcome scale item 6 - hallucinations/delusions"	"281120007"	"419058019"
"5649431000006118"	"^ESCTHY564943"	NA	"hypomanic mood"	"281257007"	"419232014"
"5688901000006116"	"^ESCTHY568890"	NA	"hypomanic behaviour"	"284512001"	"423215015"
"5688911000006118"	"^ESCTHY568891"	NA	"hypomanic behavior"	"284512001"	"423214016"
"5688921000006114"	"^ESCTMA568892"	NA	"manic behaviour"	"284513006"	"423216019"
"5688931000006112"	"^ESCTMA568893"	NA	"manic behavior"	"284513006"	"423217011"
"5699381000006117"	"^ESCTDE569938"	NA	"delusion of unworthiness"	"285277009"	"424235010"
"5718641000006117"	"^ESCTLE571864"	NA	"level of psychoticism"	"286699000"	"426143010"
"5933701000006116"	"^ESCTPR593370"	NA	"profile of mood states, bipolar"	"304757008"	"447145016"
"5934531000006116"	"^ESCTDE593453"	NA	"delusional transference"	"304854005"	"447245011"
"5965591000006114"	"^ESCTPS596559"	NA	"psychosomatic abdominal pain"	"307199009"	"450398016"
"6357571000006119"	"^ESCTBI635757"	NA	"bipolar 1 disorder"	"371596008"	"2951720012"
"6515001000006117"	"^ESCTEA651500"	NA	"early intervention in psychosis"	"390815004"	"1484849011"
"6519921000006111"	"^ESCTEA651992"	NA	"early intervention in psychosis - 1-2 contacts/week"	"391188004"	"1485210013"
"6519941000006116"	"^ESCTEA651994"	NA	"early intervention in psychosis - <1 contact/month"	"391190003"	"1485212017"
"6890801000006117"	"^ESCTLA689080"	NA	"late onset schizophrenia"	"416340002"	"2548849011"
"6891981000006111"	"^ESCTRE689198"	NA	"referral for bipolar disorder"	"416422002"	"2548934016"
"7241051000006118"	"^ESCTIN724105"	NA	"injection of depot antipsychotic agent"	"440701009"	"2794529019"
"7515091000006113"	"^ESCTDE751509"	NA	"delusional disorder in remission"	"698951002"	"2981941018"
"7696261000006113"	"^ESCTAC769626"	NA	"acute polymorphic psychotic disorder with symptoms of schizophrenia"	"712850003"	"3286030013"
"7766271000006113"	"^ESCTCO776627"	NA	"cognitive behavioural therapy for psychosis"	"718026005"	"3310566018"
"7849081000006116"	"^ESCTBI784908"	NA	"bipolar type i disorder currently in full remission"	"723903001"	"3427417019"
"7860771000006118"	"^ESCTPO786077"	NA	"positive symptoms with primary psychotic disorder"	"724755002"	"3447310014"
"7860791000006117"	"^ESCTNE786079"	NA	"negative symptoms with primary psychotic disorder"	"724756001"	"3447271016"
"7860831000006112"	"^ESCTMA786083"	NA	"manic symptoms with primary psychotic disorder"	"724758000"	"3447253011"
"7882721000006118"	"^ESCTMA788272"	NA	"major depression with psychotic features"	"726772006"	"3498367016"
"8028531000006112"	"^ESCTEA802853"	NA	"early intervention in psychosis team"	"92191000000105"	"158321000000112"
"8041781000006111"	"^ESCTRA804178"	NA	"rapid cycling bipolar i disorder"	"133091000119105"	"2923614014"
"8110251000006118"	"^ESCTIN811025"	NA	"interpretation of delusions"	"342771000000101"	"639271000000114"
"8232521000006119"	"^ESCTPA823252"	NA	"paranoid state in remission"	"755301000000102"	"1662001000000113"
"8232591000006117"	"^ESCTRE823259"	NA	"recurrent major depressive episodes, severe, with psychosis, psychosis in remission"	"755331000000108"	"1662061000000112"
"8235161000006110"	"^ESCTMI823516"	NA	"mixed bipolar affective disorder, in partial remission"	"760721000000109"	"1683621000000116"
"8237821000006118"	"^ESCTRE823782"	NA	"recurrent manic episodes, in remission"	"764681000000107"	"1696361000000112"
"8361601000006119"	"^ESCTHO836160"	NA	"honos (health of the nation outcome scales) for working age adults rating scale 6 score - problems associated with hallucinations and delusions"	"979691000000108"	"2491441000000113"
"8362551000006110"	"^ESCTHO836255"	NA	"honos 65+ (health of the nation outcome scales 65+) rating scale 6 score - problems associated with hallucinations and/or delusions (or false beliefs)"	"980811000000100"	"2494551000000112"
"8367361000006119"	"^ESCTCU836736"	NA	"current view provisional problem description item 12 score - delusional beliefs and hallucinations"	"987361000000109"	"2510321000000113"
"8367821000006117"	"^ESCTHO836782"	NA	"honos-ld (health of the nation outcome scales for people with learning disabilities) rating scale 8 score - problems associated with hallucinations and delusions"	"987871000000106"	"2511371000000116"
"8427511000006110"	"^ESCTHO842751"	NA	"honos-abi (health of the nation outcome scales for acquired brain injury) rating scale 6 score - problems associated with hallucinations or delusions or confabulations"	"1053011000000101"	"2650511000000111"
"11779391000006117"	"^ESCT1177939"	NA	"psychosomatic disorder"	"31297008"	"3510886019"
"12059201000006117"	"^ESCT1205920"	NA	"bipolar disorder, most recent episode depression"	"767631007"	"3673075018"
"12059211000006119"	"^ESCT1205921"	NA	"bipolar disorder, most recent episode manic"	"767632000"	"3673076017"
"12059221000006110"	"^ESCT1205922"	NA	"bipolar affective disorder, most recent episode mixed"	"767633005"	"3673078016"
"12059241000006115"	"^ESCT1205924"	NA	"bipolar i disorder, most recent episode manic"	"767635003"	"3673085017"
"12059251000006118"	"^ESCT1205925"	NA	"bipolar i disorder, most recent episode depression"	"767636002"	"3673088015"
"12115591000006111"	"^ESCT1211559"	NA	"referral for cognitive behavioural therapy for psychosis"	"1097161000000100"	"2747581000000112"
"12115601000006115"	"^ESCT1211560"	NA	"referral for cbtp (cognitive behavioural therapy for psychosis)"	"1097161000000100"	"2747571000000110"
"12480451000006112"	"^ESCT1248045"	NA	"[x]schizophrenia, schizotypal and delusional disorders"	"417601000000102"	"939641000000117"
"12736721000006110"	"^ESCT1273672"	NA	"fep - first episode psychosis"	"1127191000000108"	"1854701000000116"
"13911951000006118"	"^ESCT1391195"	NA	"rapid cycling bipolar ii disorder"	"789061003"	"3786563015"
"14357491000006113"	"^ESCT1435749"	NA	"group cognitive and behavioural therapy for bipolar disorder"	"149591000000108"	"1825201000000111"
"14357511000006119"	"^ESCT1435751"	NA	"group cbt-bd (cognitive and behavioural therapy for bipolar disorder)"	"149591000000108"	"1825431000000116"
"14413141000006118"	"^ESCT1441314"	NA	"discussion about antipsychotic drug therapy"	"737281000000106"	"1925111000000112"
"14472391000006111"	"^ESCT1447239"	NA	"acute psychosis"	"65971000052100"	"4543635011"
"14795681000006111"	"^ESCT1479568"	NA	"psychotic disorder with insight present"	"1231503005"	"5073182012"
