"medcodeid"	"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"
"961721000006118"	"EMISCST5"	NA	"stuporous"	"961721000006102"	"961721000006118"
"980141000006119"	"Eu1A5"	"Eu1A500"	"[x]mental and behavioural disorders due to use of crack cocaine: psychotic disorder"	"46975003"	"78284013"
"981141000006111"	"EMISCDE13"	NA	"delusions"	"981141000006107"	"981141000006111"
"996171000006114"	"212T"	"212T.00"	"psychosis, schizophrenia and bipolar affective disorder resolved"	"200951000000109"	"305361000000112"
"1667581000000114"	"Eu223"	"Eu22300"	"[x]paranoid state in remission"	"755301000000102"	"1667581000000114"
"1715191000006112"	"Eu328"	"Eu32800"	"severe major depression with psychotic features"	"73867007"	"122670017"
"1749711000000118"	"8BM01"	"8BM0100"	"antipsychotic medication review"	"769063007"	"3688039011"
"1755911000006110"	"Eu32A"	"Eu32A00"	"[x]recurrent major depressive episodes, severe, with psychosis, psychosis in remission"	"755331000000108"	"1667611000000115"
"1759391000006116"	"EMISNQHO33"	NA	"honos-ld item 8 - hallucinations/delusions"	"1759391000006100"	"1759391000006116"
"1785851000006110"	"Eu318"	"Eu31800"	"bipolar i disorder"	"371596008"	"1210225015"
"1785861000006112"	"Eu319"	"Eu31900"	"bipolar ii disorder"	"83225003"	"138029017"
"1785871000006117"	"Eu319-1"	"Eu31911"	"[x]bipolar ii disorder"	"83225003"	"138029017"
"1807561000006117"	"JHCPS8"	NA	"psychotic symptom"	"363895008"	"487025010"
"1974351000006118"	"EMISICD10|F2000"	NA	"paranoid schizophrenia, continuous"	"1974351000006102"	"1974351000006118"
"1974391000006112"	"EMISICD10|F2001"	NA	"paranoid schizophrenia, episodic with progressive deficit"	"1974391000006108"	"1974391000006112"
"1974431000006118"	"EMISICD10|F2002"	NA	"paranoid schizophrenia, episodic with stable deficit"	"1974431000006102"	"1974431000006118"
"1974451000006113"	"EMISICD10|F2003"	NA	"paranoid schizophrenia, episodic remittent"	"1974451000006109"	"1974451000006113"
"1974481000006117"	"EMISICD10|F2004"	NA	"paranoid schizophrenia, incomplete remission"	"1974481000006101"	"1974481000006117"
"1974511000006113"	"EMISICD10|F2005"	NA	"paranoid schizophrenia, complete remission"	"1974511000006109"	"1974511000006113"
"1974541000006112"	"EMISICD10|F2009"	NA	"paranoid schizophrenia, course uncertain, period of observation too short"	"1974541000006108"	"1974541000006112"
"1974601000006111"	"EMISICD10|F2010"	NA	"hebephrenic schizophrenia, continuous"	"1974601000006107"	"1974601000006111"
"1974611000006114"	"EMISICD10|F2011"	NA	"hebephrenic schizophrenia, episodic with progressive deficit"	"1974611000006105"	"1974611000006114"
"1974621000006118"	"EMISICD10|F2012"	NA	"hebephrenic schizophrenia, episodic with stable deficit"	"1974621000006102"	"1974621000006118"
"1974641000006113"	"EMISICD10|F2013"	NA	"hebephrenic schizophrenia, episodic remittent"	"1974641000006109"	"1974641000006113"
"1974671000006117"	"EMISICD10|F2014"	NA	"hebephrenic schizophrenia, incomplete remission"	"1974671000006101"	"1974671000006117"
"1974691000006116"	"EMISICD10|F2015"	NA	"hebephrenic schizophrenia, complete remission"	"1974691000006100"	"1974691000006116"
"1974721000006114"	"EMISICD10|F2019"	NA	"hebephrenic schizophrenia, course uncertain, period of observation too short"	"1974721000006105"	"1974721000006114"
"1974751000006117"	"EMISICD10|F2020"	NA	"catatonic schizophrenia, continuous"	"1974751000006101"	"1974751000006117"
