"medcodeid"	"originalreadcode"	"readcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"	"weight"	"height"
7965341000006113	"^ESCTCH796534"	NA	"Childhood failure to gain weight"	351000119100	2916950014	31	9	NA
3514400010	"^ESCT1165415"	NA	"Current body weight"	735395000	3514400010	31	9	NA
5256141000006114	"^ESCTWE525614"	NA	"Weight fluctuates"	248332009	370728010	31	9	NA
4551811000006113	"^ESCTON455181"	NA	"On examination - weight"	162763007	2667035013	27	9	NA
5451371000006112	"^ESCTWE545137"	NA	"Weight decreased"	262285001	390216012	31	9	NA
4551671000006115	"^ESCTON455167"	NA	"On examination - height"	162755006	2666494014	27	NA	9
4551701000006119	"^ESCTOE455170"	NA	"O/E - height 10-20% below average"	162757003	253671010	2	NA	9
9423891000006114	"^ESCTSL942389"	NA	"Slow weight gain"	11717701000119108	3332472016	31	9	NA
4551681000006117	"^ESCTOE455168"	NA	"O/E - height greater than 20% below average"	162756007	253670011	2	NA	9
6251151000006116	"^ESCTBO625115"	NA	"Body weight measure"	363808001	486932010	31	9	NA
4551761000006118	"^ESCTOE455176"	NA	"O/E - height greater than 20% over average"	162760005	253674019	2	NA	9
7075901000006114	"^ESCTRE707590"	NA	"Recent weight gain"	427572007	2676077016	31	9	NA
3087281000006116	"^ESCTNO308728"	NA	"Not putting on weight"	36440009	1228650014	32	9	NA
5117851000006111	"^ESCTPA511785"	NA	"Patient overweight"	238131007	356961016	2	9	NA
4935071000006119	"^ESCTHE493507"	NA	"Height increased"	224997009	338165011	31	NA	9
5256251000006115	"^ESCTPA525625"	NA	"Patient underweight"	248342006	370739013	32	9	NA
3667431000006112	"^ESCTDE366743"	NA	"Decrease in height"	71781005	501960018	31	NA	9
3484791000006113	"^ESCTWE348479"	NA	"Weight: body mass"	60621009	2164080013	2	9	NA
6922511000006116	"^ESCTHE692251"	NA	"Height below average"	418519005	2576674011	31	NA	9
5529871000006114	"^ESCTHE552987"	NA	"Height static"	271817008	406788012	32	NA	9
2729021000006118	"^ESCTME272902"	NA	"Measuring height of patient"	14456009	24574015	31	NA	9
5507901000006110	"^ESCTOE550790"	NA	"O/E - weight greater than 20% over ideal"	268916007	5507901000006110	27	9	NA
