"medcodeid"	"incident"	"prevalent"	"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"	"emiscodecategoryid"
"216596014"	"1"	"1"	"H3A"	"H3A..00"	"end stage chronic obstructive airways disease"	"135836000"	"216596014"	"32"
"2199261000000110"	"1"	"1"	"8CMW5"	"8CMW500"	"chronic obstructive pulmonary disease care pathway"	"848431000000106"	"2199261000000110"	"32"
"2308511000000113"	"0"	"1"	"66Yz2"	"66Yz200"	"shared care chronic obstructive pulmonary disease monitoring"	"897311000000101"	"2308511000000113"	"1"
"2308511000000113"	"0"	"1"	"66Yz2"	"66Yz200"	"shared care chronic obstructive pulmonary disease monitoring"	"897311000000101"	"2308511000000113"	"1"
"2423731000000115"	"0"	"1"	"66YB2"	"66YB200"	"telehealth chronic obstructive pulmonary disease monitoring"	"716358000"	"3305683010"	"1"
"2578881000006118"	"1"	"1"	"^ESCTPA257888"	NA	"panacinar emphysema"	"4981000"	"9336013"	"32"
"2716231000006114"	"1"	"1"	"^ESCTCH271623"	NA	"chronic obstructive lung disease"	"13645005"	"23287019"	"32"
"2716321000006116"	"1"	"1"	"^ESCTCO271632"	NA	"copd - chronic obstructive pulmonary disease"	"13645005"	"475427019"	"32"
"2716351000006113"	"1"	"1"	"^ESCTCO271635"	NA	"cold - chronic obstructive lung disease"	"13645005"	"475430014"	"32"
"285100019"	"1"	"1"	"H3121"	"H312100"	"emphysematous bronchitis"	"185086009"	"285100019"	"32"
"285104011"	"1"	"1"	"H312"	"H312.00"	"obstructive chronic bronchitis"	"185086009"	"285100019"	"32"
"285104011"	"1"	"1"	"H312"	"H312.00"	"obstructive chronic bronchitis"	"185086009"	"285100019"	"32"
"299001000000116"	"1"	"1"	"66Yg"	"66Yg.00"	"chronic obstructive pulmonary disease disturbs sleep"	"198401000000104"	"299001000000116"	"1"
"299031000000110"	"1"	"1"	"66Yh"	"66Yh.00"	"chronic obstructive pulmonary disease does not disturb sleep"	"198411000000102"	"299031000000110"	"1"
"301451010"	"1"	"1"	"H3120-1"	"H312011"	"chronic wheezy bronchitis"	"195949008"	"301451010"	"32"
"301453013"	"1"	"1"	"H3122"	"H312200"	"acute exacerbation of chronic obstructive airways disease"	"195951007"	"301453013"	"32"
"301455018"	"1"	"1"	"H312z"	"H312z00"	"obstructive chronic bronchitis nos"	"185086009"	"285100019"	"32"
"301457014"	"1"	"1"	"H31y"	"H31y.00"	"other chronic bronchitis"	"63480004"	"105519017"	"32"
"301458016"	"1"	"1"	"H31yz"	"H31yz00"	"other chronic bronchitis nos"	"63480004"	"105519017"	"32"
"301459012"	"1"	"1"	"H31z"	"H31z.00"	"chronic bronchitis nos"	"63480004"	"105519017"	"32"
"301460019"	"1"	"1"	"H320"	"H320.00"	"chronic bullous emphysema"	"195957006"	"301460019"	"32"
"301463017"	"1"	"1"	"H3200"	"H320000"	"segmental bullous emphysema"	"195958001"	"301463017"	"32"
"301464011"	"1"	"1"	"H3201"	"H320100"	"zonal bullous emphysema"	"195959009"	"301464011"	"32"
"301468014"	"1"	"1"	"H320z"	"H320z00"	"chronic bullous emphysema nos"	"195957006"	"301460019"	"32"
"301469018"	"1"	"1"	"H32y"	"H32y.00"	"other emphysema"	"87433001"	"144964015"	"32"
"301539010"	"1"	"1"	"H3y"	"H3y..00"	"other specified chronic obstructive airways disease"	"13645005"	"475428012"	"32"
"301545019"	"1"	"1"	"H3z"	"H3z..00"	"chronic obstructive airway disease"	"13645005"	"475428012"	"32"
"301835010"	"1"	"1"	"Hyu30"	"Hyu3000"	"[x]other emphysema"	"87433001"	"144964015"	"32"
"301836011"	"1"	"1"	"Hyu31"	"Hyu3100"	"[x]other specified chronic obstructive pulmonary disease"	"13645005"	"475431013"	"32"
"3921361000006112"	"1"	"1"	"^ESCTEM392136"	NA	"emphysema of lung"	"87433001"	"144967010"	"32"
"396108018"	"1"	"1"	"H3203"	"H320300"	"bullous emphysema with collapse"	"266355005"	"396108018"	"32"
"396110016"	"1"	"1"	"H32yz"	"H32yz00"	"other emphysema nos"	"87433001"	"144964015"	"32"
"424365019"	"1"	"1"	"ESCTAC8"	NA	"acute infective exacerbation of chronic obstructive airways disease"	"285381006"	"424365019"	"32"
"4510801000006114"	"1"	"1"	"^ESCTEN451080"	NA	"end stage chronic obstructive pulmonary disease"	"135836000"	"3034045017"	"32"
"457168017"	"1"	"1"	"H36"	"H36..00"	"mild chronic obstructive pulmonary disease"	"313296004"	"457168017"	"32"
"457169013"	"1"	"1"	"H37"	"H37..00"	"moderate chronic obstructive pulmonary disease"	"313297008"	"457169013"	"32"
"457171013"	"1"	"1"	"H38"	"H38..00"	"severe chronic obstructive pulmonary disease"	"313299006"	"457171013"	"32"
"4733021000006111"	"1"	"1"	"^ESCTOB473302"	NA	"obstructive chronic bronchitis"	"185086009"	"285104011"	"32"
"4733021000006111"	"1"	"1"	"^ESCTOB473302"	NA	"obstructive chronic bronchitis"	"185086009"	"285104011"	"32"
"4733031000006114"	"1"	"1"	"^ESCTCH473303"	NA	"chronic obstructive bronchitis"	"185086009"	"2668815014"	"32"
"475431013"	"1"	"1"	"H3"	"H3...00"	"chronic obstructive pulmonary disease"	"13645005"	"475431013"	"32"
"4781461000006117"	"1"	"1"	"^ESCTEM478146"	NA	"emphysematous bulla"	"195957006"	"301461015"	"32"
"4781471000006112"	"1"	"1"	"^ESCTBU478147"	NA	"bullous emphysema"	"195957006"	"301462010"	"32"
"508561017"	"1"	"1"	"H310"	"H310.00"	"simple chronic bronchitis"	"61937009"	"102938011"	"32"
"508562012"	"1"	"1"	"H3100"	"H310000"	"chronic catarrhal bronchitis"	"89549007"	"508562012"	"32"
"516801000000112"	"1"	"1"	"H39"	"H39..00"	"very severe chronic obstructive pulmonary disease"	"293991000000106"	"516801000000112"	"32"
"553211000006119"	"1"	"1"	"H3y1"	"H3y1.00"	"chron obstruct pulmonary dis wth acute exacerbation, unspec"	"195951007"	"301453013"	"32"
"555471000006114"	"1"	"1"	"H3-1"	"H3...11"	"coad - chronic obstructive airways disease"	"13645005"	"475423015"	"32"
"640491000006111"	"1"	"1"	"H32"	"H32..00"	"pulmonary emphysema"	"87433001"	"144964015"	"32"
"845451000006118"	"0"	"1"	"66YL-1"	"66YL.11"	"copd follow-up"	"394702007"	"1488423019"	"1"
"851261000006116"	"1"	"1"	"EMISR4QCH1"	NA	"chronic bronchitis, acute exac"	"851261000006100"	"851261000006116"	"32"
"909711000006111"	"1"	"1"	"HNGNQRF16"	NA	"[rfc] chronic obstructive pulmonary disease (copd)"	"909711000006107"	"909711000006111"	"12"
"909721000006115"	"1"	"1"	"HNGNQRF17"	NA	"[rfc] emphysema"	"909721000006104"	"909721000006115"	"12"
"9337016"	"1"	"1"	"H321"	"H321.00"	"panlobular emphysema"	"4981000"	"9337016"	"32"
