"diagnosis"	"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"
"anxiety"	"gad-2 (generalised anxiety disorder 2) scale score"	"1882561000006118"	"EMISNQGA18"	NA	"1882561000006102"	"1882561000006118"
"anxiety"	"gad-2 (generalised anxiety disorder 2) scale score"	"1901341000006113"	"38QN"	"38QN.00"	"836571000000106"	"2172211000000113"
"anxiety"	"gad-2 question 1 - positive"	"1956041000006112"	"EMISNQGA20"	NA	"1956041000006108"	"1956041000006112"
"anxiety"	"gad-2 question 2 - positive"	"1956061000006111"	"EMISNQGA22"	NA	"1956061000006107"	"1956061000006111"
"anxiety"	"gad-7 total score (anxiety severity grading)"	"1956381000006115"	"EMISNQGA24"	NA	"1956381000006104"	"1956381000006115"
"anxiety"	"gad-7 total score 5-9 (mild)"	"1956401000006115"	"EMISNQGA26"	NA	"1956401000006104"	"1956401000006115"
"anxiety"	"gad-7 total score 10-14 (moderate)"	"1956411000006117"	"EMISNQGA27"	NA	"1956411000006101"	"1956411000006117"
"anxiety"	"gad-7 total score 15-21 (severe)"	"1956421000006113"	"EMISNQGA28"	NA	"1956421000006109"	"1956421000006113"
"depression"	"reason for referral: maternal mood problems"	"1962471000006118"	"EMISNQRE547"	NA	"1962471000006102"	"1962471000006118"
"depression"	"mild depressive episode, without somatic syndrome"	"1975981000006114"	"EMISICD10|F3200"	NA	"1975981000006105"	"1975981000006114"
"depression"	"mild depressive episode, with somatic syndrome"	"1975991000006112"	"EMISICD10|F3201"	NA	"1975991000006108"	"1975991000006112"
"depression"	"moderate depressive episode, without somatic syndrome"	"1976021000006115"	"EMISICD10|F3210"	NA	"1976021000006104"	"1976021000006115"
"depression"	"moderate depressive episode, with somatic syndrome"	"1976051000006112"	"EMISICD10|F3211"	NA	"1976051000006108"	"1976051000006112"
"depression"	"recurrent depressive disorder, current episode mild, without somatic syndrome"	"1976211000006116"	"EMISICD10|F3300"	NA	"1976211000006100"	"1976211000006116"
"depression"	"recurrent depressive disorder, current episode mild, with somatic syndrome"	"1976231000006110"	"EMISICD10|F3301"	NA	"1976231000006106"	"1976231000006110"
"depression"	"recurrent depressive disorder, current episode moderate, without somatic syndrome"	"1976251000006115"	"EMISICD10|F3310"	NA	"1976251000006104"	"1976251000006115"
"depression"	"recurrent depressive disorder, current episode moderate, with somatic syndrome"	"1976271000006113"	"EMISICD10|F3311"	NA	"1976271000006109"	"1976271000006113"
"depression"	"other recurrent mood affective disorders, recurrent brief depressive disorder"	"1976411000006115"	"EMISICD10|F3810"	NA	"1976411000006104"	"1976411000006115"
"mixed"	"mixed anxiety and depressive reaction"	"1976491000006113"	"EMISICD10|F4322"	NA	"1976491000006109"	"1976491000006113"
"depression"	"honos (health of the nation outcome scales) for working age adults rating scale 7 - problems with depressed mood"	"1995011000006112"	"EMISNQHO152"	NA	"979581000000105"	"2491201000000111"
"anxiety"	"honos (health of the nation outcome scales) for working age adults rating scale 8b - anxiety"	"1995071000006115"	"EMISNQHO158"	NA	"1995071000006104"	"1995071000006115"
"anxiety"	"honos (health of the nation outcome scales) for working age adults rating scale 8c - obsessive-compulsive"	"1995091000006119"	"EMISNQHO160"	NA	"1995091000006103"	"1995091000006119"
"depression"	"referral for depression self-help video"	"2370061000000111"	"8HHq0"	"8HHq000"	"923921000000104"	"2370061000000111"
"depression"	"referral for guided self-help for depression declined"	"2391541000000115"	"8IH52"	"8IH5200"	"933441000000101"	"2391541000000115"
"anxiety"	"anxiety resolved"	"2618241000000117"	"2126J"	NA	"1037391000000102"	"2618241000000117"
"anxiety"	"referral for psychological management of anxiety"	"2618361000000113"	"8T23"	NA	"1037451000000103"	"2618361000000113"
"anxiety"	"referral for psychological management of anxiety declined"	"2618401000000116"	"8IH57"	NA	"1037471000000107"	"2618401000000116"
"anxiety"	"signposting to anxiety uk"	"2652351000000117"	"ESCTSI18"	NA	"1053831000000101"	"2652351000000117"
"anxiety"	"signposting to ocd-uk (obsessive-compulsive disorder-uk)"	"2659511000000118"	"ESCTSI21"	NA	"1057311000000107"	"2659511000000118"
"anxiety"	"signposting to ocd (obsessive-compulsive disorder) action"	"2659531000000114"	"ESCTSI22"	NA	"1057321000000101"	"2659531000000114"
"depression"	"signposting to depression self-help group"	"2659601000000116"	"ESCTSI25"	NA	"1057351000000106"	"2659601000000116"
"mixed"	"rcads - revised children's anxiety and depression scale"	"7776981000006112"	"^ESCTRC777698"	NA	"718738005"	"3313691011"
"mixed"	"revised children's anxiety and depression scale total anxiety and depression score"	"7775641000006117"	"^ESCTRE777564"	NA	"718662005"	"3313121018"
"mixed"	"revised children's anxiety and depression scale total anxiety and depression score"	"11932111000006111"	"EMISNQRE636"	NA	"11932111000006107"	"11932111000006111"
"mixed"	"revised children's anxiety and depression scale total anxiety score"	"7775621000006112"	"^ESCTRE777562"	NA	"718661003"	"3313116016"
"mixed"	"revised children's anxiety and depression scale total anxiety score"	"11932121000006115"	"EMISNQRE637"	NA	"11932121000006104"	"11932121000006115"
"depression"	"history of postnatal depression"	"8100481000006111"	"^ESCTHI810048"	NA	"311611000000104"	"562281000000116"
"depression"	"history of depression"	"4539971000006110"	"^ESCTHI453997"	NA	"161469008"	"2987042018"
"depression"	"history of depressive disorder"	"4539951000006117"	"^ESCTHI453995"	NA	"161469008"	"2820279015"
"anxiety"	"history of anxiety state"	"4539991000006111"	"^ESCTHI453999"	NA	"161470009"	"2986335015"
