"diagnosis"	"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"
"anxiety"	"[x]generalized anxiety disorder"	"388071000006116"	"Eu411"	"Eu41100"	"21897009"	"481154010"
"anxiety"	"[x]hypochondriacal disorder"	"389371000006113"	"Eu452"	"Eu45200"	"18193002"	"30729012"
"anxiety"	"[x]hypochondriasis"	"389391000006114"	"Eu452-4"	"Eu45214"	"18193002"	"30729012"
"depression"	"[x]major depression, recurrent without psychotic symptoms"	"396081000006116"	"Eu332-2"	"Eu33212"	"268621008"	"401767019"
"anxiety"	"[x]mild anxiety depression"	"398351000006110"	"Eu412-1"	"Eu41211"	"231504006"	"346979010"
"depression"	"[x]mild anxiety depression"	"398351000006110"	"Eu412-1"	"Eu41211"	"231504006"	"346979010"
"mixed"	"[x]mixed anxiety and depressive disorder"	"398561000006117"	"Eu412"	"Eu41200"	"231504006"	"346979010"
"depression"	"[x]monopolar depression nos"	"398841000006119"	"Eu33z-1"	"Eu33z11"	"35489007"	"59212011"
"anxiety"	"depressive neurosis"	"399961000006118"	"Eu341-3"	"Eu34113"	"78667006"	"130534012"
"mixed"	"depressive neurosis"	"399961000006118"	"Eu341-3"	"Eu34113"	"78667006"	"130534012"
"anxiety"	"[x]neurotic, stress-related and somatoform disorders"	"399981000006111"	"Eu4"	"Eu4..00"	"74732009"	"124108014"
"anxiety"	"[x]obsessional personality disorder"	"400311000006117"	"Eu605-2"	"Eu60512"	"473457009"	"2957127011"
"anxiety"	"[x]obsessive - compulsive disorder"	"400321000006113"	"Eu42"	"Eu42.00"	"191736004"	"295014019"
"anxiety"	"[x]obsessive-compulsive personality disorder"	"400351000006116"	"Eu605-3"	"Eu60513"	"1376001"	"475488010"
"anxiety"	"organic anxiety disorder"	"403931000006116"	"Eu054"	"Eu05400"	"17496003"	"29572018"
"depression"	"depression monitoring administration"	"406881000000111"	"9Ov"	"9Ov..00"	"713831000000108"	"1565071000000118"
"depression"	"depression monitoring first letter"	"408521000000112"	"9Ov0"	"9Ov0.00"	"717211000000107"	"1569751000000114"
"depression"	"depression monitoring second letter"	"408541000000117"	"9Ov1"	"9Ov1.00"	"716681000000100"	"1569231000000114"
"depression"	"depression monitoring third letter"	"408561000000116"	"9Ov2"	"9Ov2.00"	"716961000000102"	"1569511000000115"
"depression"	"depression monitoring verbal invitation"	"408581000000113"	"9Ov3"	"9Ov3.00"	"717261000000109"	"1569801000000119"
"depression"	"depression monitoring telephone invitation"	"408601000000116"	"9Ov4"	"9Ov4.00"	"716421000000103"	"1568971000000112"
"anxiety"	"[x]panic attack"	"418031000006113"	"Eu410-1"	"Eu41011"	"371631005"	"1210253015"
"anxiety"	"[x]panic disorder with agoraphobia"	"418051000006118"	"Eu400-2"	"Eu40012"	"191722009"	"294992011"
"anxiety"	"[x]panic state"	"418061000006116"	"Eu410-2"	"Eu41012"	"371631005"	"1210253015"
"mixed"	"[x]persistant anxiety depression"	"419841000006116"	"Eu341-4"	"Eu34114"	"231504006"	"346979010"
"anxiety"	"[x]phobic anxiety disorder of childhood"	"420641000006116"	"Eu931"	"Eu93100"	"192611004"	"296723015"
