term	medcodeid	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid
dementia associated with alcoholism	2502971000006115	^ESCTDE250297	NA	281004	1557018
detoxication psychiatric therapy for alcoholism	3545831000006115	^ESCTDE354583	NA	64297001	2160425017
detoxication therapy for alcoholism	3545841000006113	^ESCTDE354584	NA	64297001	106877013
dilated cardiomyopathy secondary to alcohol	3859091000006114	^ESCTDI385909	NA	83521008	138526017
dilated cardiomyopathy caused by alcohol	3859111000006117	^ESCTDI385911	NA	83521008	3290572011
dilated cardiomyopathy caused by alcohol	14798891000006118	^ESCT1479889	NA	1234750000	5083873012
history of alcoholism	4539891000006115	^ESCTHI453989	NA	161466001	2923447012
mild alcohol dependence	7706231000006114	^ESCTMI770623	NA	713583005	3290336015
moderate alcohol dependence	7725141000006111	^ESCTMO772514	NA	714829008	3300567016
patient referral for alcoholism rehabilitation	3122331000006110	^ESCTPA312233	NA	38670004	3122331000006110
sadq (severity of alcohol dependence questionnaire) score	7278531000006111	^ESCTSA727853	NA	443504004	2839849016
severe alcohol dependence	7710581000006113	^ESCTSE771058	NA	713862009	3297813018
withdrawn from alcohol detoxification program	7785371000006113	^ESCTWI778537	NA	719340007	3316031015
